Date,Distance,Name,Location,,,
01/01/2016,5K/10K/13.1M,Brazen New Yearâ€™s Day,Castro Valley CA,,,
01/03/2016,5K,Marina Green,San Francisco CA,,,
01/06/2016,5K,Fog City Run,San Francisco CA,,,
01/09/2016,10K,Resolve to Solve IBD,San Francisco CA,,,
01/10/2016,10K,Fort Mason Run,San Francisco CA,,,
01/10/2016,5K/15K,Hot Chocolate Run,San Francisco CA,,,
01/13/2016,5K,Fog City Run,San Francisco CA,,,
01/16/2016,10K/5K,Dam Run,Orinda CA,,,
01/16/2016,50K/26.2M/30K/ 13.1M/ 0K,Pacific Foothills Trail Run,Pacifica CA,,,
01/16/2016,50K/30K/13.1M/ 10K,Steep Ravine Trail Run,Stinson Beach CA,,,
01/17/2016,10M/ 5K,Water Front,Brisbane CA,,,
01/20/2016,5K,Fog City Run,San Francisco CA,,,
01/24/2016,10M/5K,Foster City Run,Foster City CA,,,
01/24/2016,10K/5K,LMJS Fourth Sunday Race,Oakland CA,,,
01/24/2016,5K,Rainbow Falls,San Francisco CA,,,
01/27/2016,5K,Fog City Run,San Francisco CA,,,
01/30/2016,13.1M/10K/5K,China Camp Challenge Trail Run,San Rafael CA,,,
01/30/2016,5/ Duathlon,Du 3 Bears ,El Sobrante CA,,,
01/31/2016,10K,Golden Gate Bridge Vista,San Francisco CA,,,
02/03/2016,5K,Fog City Run,San Francisco CA,,,
02/06/2016,50K/26.2M/30K/ 13.1M/5M,Golden Gate Trail Run,Sausalito CA,,,
02/07/2016,13.1M/10K/5K,Rattlesnake Ramble,Castro Valley CA,,,
02/07/2016,5K/1M,Speckles Lake,San Francisco CA,,,
02/10/2016,5K,Fog City Run,San Francisco CA,,,
02/13/2016,13.1M/10K/5K,Bay Breeze Half Marathon,San Leandro CA,,,
02/14/2016,13.1M/5K,Kaiser Permanente San Francisco,San Francisco CA,,,
02/14/2016,13.1M/10K,I left my heart in San Francisco,San Francisco CA,,,
02/17/2016,5K,Fog City Run,San Francisco CA,,,
02/20/2016,5K,5K Dash and Splash,San Francisco CA,,,
02/20/2016,50K/20K/13.1M/10K,Chabot Trail Run,Castro Valley CA,,,
02/20/2016,1M,Cupids Undie Run,San Francisco CA,,,
02/20/2016,50K/26.2M/30K/ 13.1M/10K,Montara Mountain Trail Run,Pacifica CA,,,
02/21/2016,10K,Fort to Fort,San Francisco CA,,,
02/24/2016,5K,Fog City Run,San Francisco CA,,,
02/27/2016,13.1M/10K/5K,Victory Half Marathon,Richmond CA,,,
02/28/2016,10K/5K,Chinese New Year Run,San Francisco CA,,,
02/28/2016,10K,Couples Relay,Oakland CA,,,
02/28/2016,10K,Windmill,San Francisco CA,,,